Table_Source,Day,Start_Time,End_Time,Batch_ID,Subject,Faculty,Room_No
Divisions (Img 1),MON,08:45 AM,09:45 AM,C1,FCSP-1,AKS,306-1
Divisions (Img 1),MON,08:45 AM,09:45 AM,C2,PS,BNS,303
Divisions (Img 1),MON,08:45 AM,09:45 AM,C3,FSD-1,MHP,306-2
Divisions (Img 1),MON,08:45 AM,09:45 AM,C4,DE,JDP,304
Divisions (Img 1),MON,08:45 AM,09:45 AM,C5,PS,MHN,305
Divisions (Img 1),MON,08:45 AM,09:45 AM,C6,FCSP-1,SYD,307-B
Divisions (Img 1),MON,08:45 AM,09:45 AM,C8,FSD-1,SPP,306-3
Divisions (Img 1),MON,08:45 AM,09:45 AM,C9,DE,SDS,308
Divisions (Img 1),MON,09:45 AM,10:45 AM,C1,FCSP-1,AKS,306-1
Divisions (Img 1),MON,09:45 AM,10:45 AM,C2,PS,BNS,303
Divisions (Img 1),MON,09:45 AM,10:45 AM,C3,FSD-1,MHP,306-2
Divisions (Img 1),MON,09:45 AM,10:45 AM,C4,DE,JDP,304
Divisions (Img 1),MON,09:45 AM,10:45 AM,C5,PS,MHN,305
Divisions (Img 1),MON,09:45 AM,10:45 AM,C6,FCSP-1,SYD,307-B
Divisions (Img 1),MON,09:45 AM,10:45 AM,C8,FSD-1,SPP,306-3
Divisions (Img 1),MON,09:45 AM,10:45 AM,C9,DE,SDS,308
Divisions (Img 1),MON,11:30 AM,12:30 PM,C1,DE,SDS,303
Divisions (Img 1),MON,11:30 AM,12:30 PM,C2,FSD-1,KGR,306-1
Divisions (Img 1),MON,11:30 AM,12:30 PM,C3,PS,MHN,304
Divisions (Img 1),MON,11:30 AM,12:30 PM,C4,FCSP-1,SYD,306-2
Divisions (Img 1),MON,11:30 AM,12:30 PM,C5,FCSP-1,AKS,408-B
Divisions (Img 1),MON,11:30 AM,12:30 PM,C6,DE,JDP,309-B
Divisions (Img 1),MON,11:30 AM,12:30 PM,C8,PS,MMC,308
Divisions (Img 1),MON,11:30 AM,12:30 PM,C9,FSD-1,MHP,306-3
Divisions (Img 1),MON,12:30 PM,01:30 PM,C1,DE,SDS,303
Divisions (Img 1),MON,12:30 PM,01:30 PM,C2,FSD-1,KGR,306-1
Divisions (Img 1),MON,12:30 PM,01:30 PM,C3,PS,MHN,304
Divisions (Img 1),MON,12:30 PM,01:30 PM,C4,FCSP-1,SYD,306-2
Divisions (Img 1),MON,12:30 PM,01:30 PM,C5,FCSP-1,AKS,408-B
Divisions (Img 1),MON,12:30 PM,01:30 PM,C6,DE,JDP,309-B
Divisions (Img 1),MON,12:30 PM,01:30 PM,C8,PS,MMC,308
Divisions (Img 1),MON,12:30 PM,01:30 PM,C9,FSD-1,MHP,306-3
Divisions (Img 1),TUE,08:45 AM,09:45 AM,C1,PS,BNS,303
Divisions (Img 1),TUE,08:45 AM,09:45 AM,C2,FCSP-1,SYD,306-1
Divisions (Img 1),TUE,08:45 AM,09:45 AM,C3,FCSP-1,PDS,306-2
